HeatNo|QualNo|CustID|CustVer|InternalVer|Cr_Final|Ni_Final|Mo_Final|V_Final|W_Final|TotalIngotsWeight|Last_EOP|Cr_Last_EOP|Ni_Last_EOP|Mo_Last_EOP|V_Last_EOP|W_Last_EOP
79930|834|92|1|4|11.7|0.18|0.84|0.94|0.08|50400.0|2.0|9.62|0.18|0.59|0.269|0.04
79931|834|79|2|1|11.69|0.2|0.73|0.95|0.1|48410.0|2.0|10.66|0.18|0.76|0.183|0.07
79949|834|57|3|4|11.54|0.19|0.76|0.98|0.1|44100.0|2.0|10.66|0.21|0.65|0.319|0.1
79951|834|99|2|1|11.28|0.21|0.77|0.77|0.11|47380.0|2.0|10.82|0.23|0.64|0.319|0.09
79960|834|92|1|10|11.77|0.15|0.86|0.84|0.07|42230.0|2.0|11.81|0.16|0.74|0.141|0.03
79962|834|99|2|3|11.38|0.19|0.74|0.92|0.09|46560.0|2.0|11.79|0.19|0.65|0.389|0.05
79985|834|79|2|1|11.75|0.14|0.75|0.93|0.02|46200.0|2.0|9.51|0.14|0.68|0.0564|0.01
79986|834|99|2|1|11.24|0.17|0.74|0.76|0.08|47380.0|2.0|10.99|0.18|0.63|0.286|0.04
79995|834|57|3|4|11.53|0.17|0.74|0.95|0.07|44400.0|2.0|11.68|0.18|0.58|0.323|0.03
80007|834|79|2|1|11.75|0.13|0.73|0.93|0.02|47380.0|2.0|9.73|0.13|0.74|0.0605|0.01
80016|834|99|2|1|11.43|0.18|0.75|0.78|0.08|50320.0|2.0|10.36|0.2|0.62|0.285|0.08
80017|834|59|2|1|11.6|0.23|0.78|0.93|0.08|49440.0|2.0|10.11|0.25|0.47|0.293|0.08
80018|834|92|1|13|11.58|0.12|0.72|0.93|0.03|52930.0|2.0|9.35|0.12|0.74|0.081|0.01
80019|834|99|2|3|11.31|0.19|0.74|0.93|0.09|45320.0|3.0|10.67|0.21|0.64|0.279|0.08
80020|834|99|2|10|11.34|0.1|0.75|0.78|0.02|45150.0|2.0|10.24|0.11|0.6|0.0812|0.01
80023|834|92|1|11|11.66|0.13|0.85|0.95|0.03|48870.0|2.0|9.53|0.14|0.73|0.0643|0.01
80033|834|92|1|4|11.62|0.16|0.86|0.94|0.02|41200.0|3.0|10.94|0.16|0.79|0.0786|0.01
80056|834|57|3|4|11.25|0.23|0.76|0.94|0.09|46630.0|2.0|10.53|0.23|0.71|0.316|0.05
80061|834|89|1|7|11.79|0.13|0.84|0.93|0.02|49000.0|2.0|10.26|0.12|0.68|0.0808|0.01
80062|834|55|2|5|11.29|0.27|0.74|0.94|0.1|50200.0|2.0|10.08|0.28|0.67|0.231|0.06
80068|834|79|2|14|11.81|0.18|0.73|0.96|0.03|46560.0|2.0|9.8|0.17|0.65|0.0619|0.01
80077|834|55|2|5|11.37|0.25|0.73|0.94|0.08|47360.0|3.0|11.52|0.27|0.67|0.446|0.05
80100|834|79|2|2|11.65|0.29|0.73|0.95|0.12|45850.0|2.0|11.5|0.31|0.57|0.165|0.1
80124|834|89|1|2|11.72|0.23|0.85|0.86|0.09|41560.0|2.0|10.87|0.24|0.68|0.174|0.04
80150|834|59|2|1|11.93|0.2|0.77|0.93|0.05|50400.0|2.0|11.72|0.2|0.65|0.346|0.01
80151|834|79|2|1|11.84|0.16|0.73|0.95|0.08|47380.0|2.0|11.01|0.17|0.44|0.168|0.05
80164|834|79|2|2|11.68|0.22|0.73|0.93|0.09|46000.0|2.0|10.81|0.23|0.69|0.132|0.06
80172|834|79|2|1|11.74|0.26|0.75|0.95|0.08|49440.0|2.0|11.08|0.24|0.8|0.122|0.04
80173|834|99|2|1|11.42|0.27|0.74|0.76|0.1|48280.0|2.0|10.98|0.26|0.63|0.37|0.08
80174|834|92|1|2|11.75|0.16|0.86|0.85|0.06|43800.0|2.0|11.07|0.16|0.72|0.204|0.02
80194|834|55|2|5|11.44|0.21|0.74|0.95|0.14|48880.0|2.0|11.38|0.21|0.7|0.414|0.1
80209|834|99|2|2|11.4|0.23|0.76|0.77|0.11|44730.0|2.0|11.2|0.22|0.64|0.466|0.07
80217|834|57|3|11|12.0|0.13|0.74|0.93|0.06|53520.0|2.0|10.89|0.14|0.71|0.121|0.02
80245|834|99|2|1|11.54|0.23|0.74|0.77|0.08|48280.0|2.0|10.71|0.24|0.75|0.378|0.05
80250|834|99|2|30|11.41|0.21|0.75|0.95|0.11|45600.0|2.0|10.91|0.23|0.75|0.334|0.08
80251|834|92|1|14|11.69|0.15|0.82|0.92|0.06|47600.0|2.0|10.79|0.16|0.77|0.212|0.02
80265|834|99|2|2|11.36|0.23|0.75|0.78|0.09|48000.0|2.0|10.43|0.24|0.63|0.379|0.05
80270|834|99|2|1|11.52|0.23|0.74|0.82|0.08|48410.0|2.0|11.42|0.25|0.66|0.565|0.05
80271|834|92|1|11|11.65|0.17|0.84|0.92|0.06|51290.0|2.0|11.23|0.18|0.81|0.468|0.03
80282|834|92|1|4|11.64|0.17|0.83|0.95|0.05|47380.0|2.0|11.75|0.16|0.83|0.29|0.01
80292|834|99|2|1|11.33|0.24|0.74|0.76|0.08|44290.0|2.0|11.25|0.24|0.69|0.264|0.05
80293|834|89|1|9|11.75|0.24|0.85|0.83|0.08|49440.0|2.0|10.94|0.24|0.72|0.321|0.04
80294|834|79|2|14|11.71|0.2|0.72|0.98|0.07|47400.0|2.0|10.98|0.2|0.73|0.355|0.03
80330|834|99|2|2|11.4|0.24|0.74|0.76|0.07|48000.0|2.0|10.64|0.25|0.61|0.363|0.05
80334|834|79|2|14|11.74|0.21|0.73|0.95|0.07|44240.0|2.0|10.27|0.21|0.59|0.24|0.05
80335|834|57|3|4|11.44|0.21|0.75|0.95|0.08|46840.0|2.0|11.03|0.22|0.83|0.273|0.05
80362|834|99|2|1|11.31|0.19|0.73|0.75|0.07|50400.0|3.0|11.46|0.19|0.68|0.309|0.03
80363|834|99|2|1|11.38|0.23|0.74|0.79|0.08|48280.0|2.0|10.97|0.23|0.74|0.328|0.04
80368|834|79|2|14|11.56|0.2|0.72|0.92|0.14|47140.0|3.0|11.8|0.2|0.62|0.109|0.14
80372|834|99|2|1|11.35|0.27|0.75|0.76|0.1|50400.0|2.0|11.09|0.27|0.63|0.412|0.05
80375|834|79|2|14|11.65|0.19|0.74|0.95|0.07|43800.0|2.0|10.61|0.21|0.63|0.0978|0.03
80381|834|99|2|2|11.35|0.27|0.75|0.78|0.1|44400.0|2.0|10.35|0.28|0.66|0.271|0.06
80395|834|99|2|1|11.31|0.21|0.73|0.77|0.08|49000.0|2.0|10.73|0.23|0.66|0.307|0.05
80396|834|99|2|1|11.24|0.23|0.73|0.76|0.1|48280.0|2.0|11.06|0.25|0.72|0.342|0.07
80398|834|99|2|2|11.4|0.28|0.78|0.77|0.06|40820.0|2.0|10.24|0.32|0.56|0.296|0.06
80412|834|99|2|1|11.29|0.22|0.73|0.74|0.09|49440.0|2.0|10.23|0.23|0.62|0.317|0.05
80413|834|57|3|4|11.5|0.16|0.76|0.95|0.09|45210.0|2.0|11.14|0.17|0.62|0.132|0.04
80418|834|92|1|2|11.6|0.15|0.83|0.84|0.06|43800.0|2.0|10.37|0.14|0.63|0.071|0.03
80425|834|55|2|5|11.5|0.24|0.74|0.93|0.11|48160.0|2.0|10.22|0.24|0.57|0.334|0.09
80426|834|79|2|16|11.59|0.21|0.72|0.91|0.12|51800.0|2.0|11.8|0.22|0.52|0.216|0.1
80455|834|99|2|1|11.36|0.24|0.75|0.75|0.08|49000.0|2.0|10.44|0.23|0.68|0.267|0.04
80464|834|99|2|1|11.32|0.2|0.71|0.76|0.08|51800.0|2.0|10.32|0.21|0.61|0.287|0.05
80465|834|79|2|14|11.74|0.23|0.74|0.96|0.09|51350.0|2.0|11.05|0.23|0.64|0.313|0.05
80488|834|99|2|1|11.47|0.28|0.73|0.75|0.12|47600.0|2.0|11.07|0.31|0.66|0.15|0.12
80494|834|55|2|5|11.25|0.21|0.73|0.92|0.11|53040.0|2.0|11.24|0.21|0.56|0.143|0.06
80518|834|57|3|10|11.63|0.14|0.71|0.91|0.12|49440.0|3.0|12.17|0.14|0.6|0.137|0.1
80519|834|79|2|1|11.65|0.16|0.75|0.95|0.08|47380.0|2.0|11.64|0.17|0.63|0.17|0.06
80522|834|92|1|11|11.78|0.24|0.82|0.91|0.1|46660.0|3.0|11.7|0.24|0.68|0.225|0.07
80537|834|99|2|1|11.36|0.24|0.74|0.76|0.09|50400.0|2.0|10.96|0.26|0.68|0.396|0.09
80538|834|79|2|1|11.68|0.2|0.72|0.93|0.11|48410.0|2.0|11.55|0.2|0.58|0.202|0.11
